keyId	sentId	annotator	label	time
abuta_1_1-Jun	abuta_1_1	Jun	not side effect	2019-06-02 21:26:11
abuta_1_1-Kelly	abuta_1_1	Kelly	not side effect	2019-06-02 21:44:39
abuta_1_2-Jun	abuta_1_2	Jun	not side effect	2019-06-02 21:26:16
abuta_1_2-Kelly	abuta_1_2	Kelly	not side effect	2019-06-02 21:44:39
abuta_2_0-Jun	abuta_2_0	Jun	not side effect	2019-06-02 21:26:19
abuta_2_0-Kelly	abuta_2_0	Kelly	not side effect	2019-06-02 21:44:46
abuta_2_1-Jun	abuta_2_1	Jun	side effect	2019-06-02 21:26:23
abuta_2_1-Kelly	abuta_2_1	Kelly	side effect	2019-06-02 21:44:48
abuta_2_2-Jun	abuta_2_2	Jun	not side effect	2019-06-02 21:26:33
abuta_2_2-Kelly	abuta_2_2	Kelly	not side effect	2019-06-02 21:44:49
acacia_1_1-Jun	acacia_1_1	Jun	not side effect	2019-06-02 21:26:36
acacia_1_1-Kelly	acacia_1_1	Kelly	not side effect	2019-06-02 21:44:50
acacia_1_2-Jun	acacia_1_2	Jun	not side effect	2019-06-02 21:45:19
acacia_1_2-Kelly	acacia_1_2	Kelly	not side effect	2019-06-02 21:54:11
acacia_2_0-Jun	acacia_2_0	Jun	not side effect	2019-06-02 21:45:32
acacia_2_0-Kelly	acacia_2_0	Kelly	not side effect	2019-06-02 21:44:56
acacia_2_2-Jun	acacia_2_2	Jun	not side effect	2019-06-02 21:45:39
acacia_2_2-Kelly	acacia_2_2	Kelly	not side effect	2019-06-02 21:44:58
acacia_3_0-Jun	acacia_3_0	Jun	not side effect	2019-06-02 21:45:47
acacia_3_0-Kelly	acacia_3_0	Kelly	not side effect	2019-06-02 21:45:04
acacia_3_2-Jun	acacia_3_2	Jun	not side effect	2019-06-02 21:45:51
acacia_3_2-Kelly	acacia_3_2	Kelly	not side effect	2019-06-02 21:45:04
acacia_4_0-Jun	acacia_4_0	Jun	not side effect	2019-06-02 21:45:52
acacia_4_0-Kelly	acacia_4_0	Kelly	not side effect	2019-06-02 21:45:05
acacia_4_1-Jun	acacia_4_1	Jun	not side effect	2019-06-02 21:45:55
acacia_4_1-Kelly	acacia_4_1	Kelly	not side effect	2019-06-02 21:45:07
acacia_4_2-Jun	acacia_4_2	Jun	not side effect	2019-06-02 21:45:58
acacia_4_2-Kelly	acacia_4_2	Kelly	not side effect	2019-06-02 21:54:14
acacia_5_0-Jun	acacia_5_0	Jun	not side effect	2019-06-02 21:46:00
acacia_5_0-Kelly	acacia_5_0	Kelly	not side effect	2019-06-02 21:45:17
acacia_5_1-Jun	acacia_5_1	Jun	not side effect	2019-06-02 21:46:03
acacia_5_1-Kelly	acacia_5_1	Kelly	not side effect	2019-06-02 21:45:18
acacia_5_2-Jun	acacia_5_2	Jun	not side effect	2019-06-02 21:46:07
acacia_5_2-Kelly	acacia_5_2	Kelly	not side effect	2019-06-02 21:54:15
acacia_5_3-Jun	acacia_5_3	Jun	not side effect	2019-06-02 21:46:23
acacia_5_3-Kelly	acacia_5_3	Kelly	not side effect	2019-06-02 21:45:24
acai_1_0-Jun	acai_1_0	Jun	not side effect	2019-06-02 21:46:30
acai_1_0-Kelly	acai_1_0	Kelly	not side effect	2019-06-02 21:45:25
acai_1_1-Jun	acai_1_1	Jun	not side effect	2019-06-02 21:46:36
acai_1_1-Kelly	acai_1_1	Kelly	not side effect	2019-06-02 21:54:18
acai_4_0-Jun	acai_4_0	Jun	not side effect	2019-06-02 21:46:42
acai_4_0-Kelly	acai_4_0	Kelly	not side effect	2019-06-02 21:45:30
acai_4_2-Jun	acai_4_2	Jun	not side effect	2019-06-02 21:46:47
acai_4_2-Kelly	acai_4_2	Kelly	not side effect	2019-06-02 21:54:21
acai_5_0-Jun	acai_5_0	Jun	not side effect	2019-06-02 21:46:53
acai_5_0-Kelly	acai_5_0	Kelly	not side effect	2019-06-02 21:54:23
acerola_1_0-Jun	acerola_1_0	Jun	skip	2019-06-02 21:47:03
acerola_1_0-Kelly	acerola_1_0	Kelly	skip	2019-06-02 21:57:34
acerola_1_2-Jun	acerola_1_2	Jun	not side effect	2019-06-02 21:47:09
acerola_1_2-Kelly	acerola_1_2	Kelly	not side effect	2019-06-02 21:54:25
acerola_2_1-Jun	acerola_2_1	Jun	not side effect	2019-06-02 21:47:20
acerola_2_1-Kelly	acerola_2_1	Kelly	not side effect	2019-06-02 21:45:41
acerola_2_2-Jun	acerola_2_2	Jun	not side effect	2019-06-02 21:47:23
